,fish_id,group,treatment,exposure,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar
349,3BT24h00509,24h 0.5%,0.5,24,1.0,7.0,27.0,24.15,3.5,2.9,0.28,1.1480585509861003,male,138.0
350,3BT24h00510,24h 0.5%,0.5,24,1.0,4.0,38.0,8.533333333333333,3.2,2.6,0.42,2.389622212107419,female,219.0
351,3BT24h00511,24h 0.5%,0.5,24,1.0,7.0,15.0,22.75,3.4,2.6,0.29,1.649977241693218,male,104.0
352,3BT24h00512,24h 0.5%,0.5,24,1.0,7.0,38.0,25.433333333333334,3.3,2.7,0.38,1.9306000101610523,female,358.0
353,3BT24h00513,24h 0.5%,0.5,24,1.0,7.0,21.0,23.45,3.4,2.7,0.36,1.8289894833104705,male,166.8
354,3BT24h00514,24h 0.5%,0.5,24,5.0,7.0,10.0,22.166666666666668,3.2,2.6,0.18,1.024123805188894,male,166.8
355,3BT24h01001,24h 1.0%,1.0,24,2.0,6.0,17.0,16.7,3.6,2.9,0.35,1.4350731887326253,female,75.0
356,3BT24h01002,24h 1.0%,1.0,24,4.0,5.0,23.0,11.916666666666666,3.0,2.5,0.27,1.728,male,76.0
357,3BT24h01003,24h 1.0%,1.0,24,2.0,3.0,44.0,5.2,3.6,3.1,0.7,2.3497029304152255,female,183.0
358,3BT24h01004,24h 1.0%,1.0,24,1.0,6.0,7.0,15.7,3.4,2.8,0.35,1.5943877551020411,male,136.0
359,3BT24h01005,24h 1.0%,1.0,24,1.0,7.0,10.0,22.166666666666668,3.3,2.7,0.28,1.422547375908144,male,80.0
360,3BT24h01006,24h 1.0%,1.0,24,2.0,3.0,11.0,3.55,3.4,2.7,0.33,1.676573693034598,female,42.0
361,3BT24h01007,24h 1.0%,1.0,24,4.0,6.0,29.0,17.9,3.1,2.5,0.25,1.6,male,88.0
362,3BT24h01008,24h 1.0%,1.0,24,3.0,4.0,11.0,6.733333333333333,3.2,2.5,0.25,1.6,male,98.6
363,3BT24h01009,24h 1.0%,1.0,24,2.0,2.0,7.0,1.2333333333333334,3.5,2.8,0.24,1.0932944606413997,male,84.0
364,3BT24h01010,24h 1.0%,1.0,24,1.0,4.0,23.0,7.533333333333333,4.0,3.6,0.27,0.5787037037037037,male,98.6
365,3BT24h01011,24h 1.0%,1.0,24,4.0,4.0,43.0,8.866666666666667,3.6,3.0,0.36,1.3333333333333333,male,115.0
366,3BT24h01012,24h 1.0%,1.0,24,5.0,1.0,12.0,0.2,3.0,2.5,0.32,2.048,male,107.0
367,3BT96hCTR01,96h 0.0%,0.0,96,1.0,3.0,48.0,5.4,2.5,2.3,0.16,1.3150324648639764,male,126.57142857142857
368,3BT96hCTR02,96h 0.0%,0.0,96,2.0,2.0,7.0,1.2333333333333334,2.5,2.0,0.1,1.25,male,126.57142857142857
369,3BT96hCTR03,96h 0.0%,0.0,96,1.0,7.0,9.0,22.05,3.0,2.4,0.15,1.0850694444444446,female,126.57142857142857
370,3BT96hCTR04,96h 0.0%,0.0,96,1.0,5.0,31.0,12.583333333333334,3.5,2.7,0.42,2.1338210638622157,female,126.57142857142857
371,3BT96hCTR05,96h 0.0%,0.0,96,1.0,9.0,15.0,38.25,3.0,2.5,0.19,1.216,male,99.0
372,3BT96hCTR06,96h 0.0%,0.0,96,1.0,7.0,25.0,23.916666666666668,3.0,2.5,0.16,1.024,unidentified,89.0
373,3BT96hCTR07,96h 0.0%,0.0,96,1.0,2.0,12.0,1.4,3.0,2.4,0.2,1.4467592592592595,male,126.57142857142857
