,fish_id,group,treatment,exposure,datetime,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
179,2BT01h01010,01h 1.0%,1.0,1,2021-08-06 12:52:41,11.0,bright,0.0,480.0,480.0,141.0,121.0,262.0,3718.42,3364.37,7082.79,26.37177304964539,27.804710743801653,27.088241896723524,3.0,2.3,0.24,1.9725486972959647,male,307.25,120.0,7.6
180,2BT01h01011,01h 1.0%,1.0,1,2021-08-06 13:09:35,358.0,bright,0.0,122.0,122.0,212.0,0.0,212.0,2672.23,0.0,2672.23,12.604858490566038,,12.604858490566038,2.8,2.2,0.26,2.441773102930127,female,307.25,120.0,7.6
181,2BT01h01012,01h 1.0%,1.0,1,2021-08-06 13:26:07,0.0,bright,28.0,367.0,13.107142857142858,16.0,2.0,18.0,212.99,12.28,225.27,13.311875,6.14,9.7259375,2.9,2.2,0.21,1.9722013523666408,female,391.0,120.0,7.6
182,2BT01h01013,01h 1.0%,1.0,1,2021-08-06 13:42:33,0.0,bright,75.0,307.0,4.093333333333334,108.0,6.0,114.0,2046.04,98.72,2144.7599999999998,18.944814814814816,16.453333333333333,17.699074074074076,3.0,2.3,0.25,2.0547382263499636,female,307.25,120.0,7.6
183,2BT01h01014,01h 1.0%,1.0,1,2021-08-06 13:59:03,0.0,dark,53.0,348.0,6.566037735849057,199.0,130.0,329.0,3798.46,3209.37,7007.83,19.087738693467337,24.687461538461537,21.88760011596444,3.3,2.6,0.34,1.9344560764679108,female,307.25,120.0,7.6
184,2BT01h01015,01h 1.0%,1.0,1,2021-08-06 14:15:35,0.0,bright,37.0,134.0,3.6216216216216215,128.0,1.0,129.0,1544.87,6.52,1551.3899999999999,12.069296875,6.52,9.2946484375,2.9,2.4,0.24,1.7361111111111112,male,307.25,120.0,7.6
185,2BT01h01016,01h 1.0%,1.0,1,2021-08-06 14:32:46,0.0,bright,43.0,378.0,8.790697674418604,272.0,154.0,426.0,4261.34,2821.38,7082.72,15.66669117647059,18.32064935064935,16.99367026355997,2.6,1.9,0.16,2.3327015599941685,male,307.25,120.0,7.6
186,2BT24hCTR01,24h 0.0%,0.0,24,2021-08-10 11:31:07,0.0,bright,0.0,480.0,480.0,115.0,0.0,115.0,896.96,0.0,896.96,7.799652173913044,,7.799652173913044,3.0,2.4,0.21,1.5190972222222223,female,79.0,110.0,7.3
187,2BT24hCTR02,24h 0.0%,0.0,24,2021-08-10 11:47:28,0.0,dark,0.0,0.0,0.0,229.0,177.0,406.0,3748.24,3390.78,7139.02,16.367860262008733,19.156949152542374,17.762404707275554,2.7,2.1,0.2,2.15959399632869,male,79.0,110.0,7.3
188,2BT24hCTR03,24h 0.0%,0.0,24,2021-08-10 12:04:24,0.0,dark,9.0,193.0,21.444444444444443,286.0,134.0,420.0,3569.95,2226.69,5796.639999999999,12.482342657342656,16.617089552238806,14.54971610479073,2.9,2.4,0.18,1.3020833333333335,male,79.0,110.0,7.3
189,2BT24hCTR04,24h 0.0%,0.0,24,2021-08-10 12:21:14,0.0,bright,0.0,480.0,480.0,179.0,215.0,394.0,1846.44,2437.15,4283.59,10.315307262569833,11.335581395348838,10.825444328959335,2.6,2.0,0.16,2.0,male,79.0,110.0,7.3
190,2BT24hCTR05,24h 0.0%,0.0,24,2021-08-10 12:37:40,0.0,bright,7.0,178.0,25.428571428571427,85.0,297.0,382.0,2138.0,5781.3,7919.3,25.152941176470588,19.465656565656566,22.309298871063575,2.6,2.0,0.16,2.0,male,79.0,110.0,7.3
191,2BT24hCTR06,24h 0.0%,0.0,24,2021-08-10 12:54:02,0.0,dark,22.0,214.0,9.727272727272727,126.0,161.0,287.0,2175.03,2799.66,4974.6900000000005,17.26214285714286,17.38919254658385,17.325667701863352,2.6,2.0,0.13,1.625,male,79.0,110.0,7.3
192,2BT24hCTR07,24h 0.0%,0.0,24,2021-08-10 13:11:38,0.0,bright,20.0,236.0,11.8,275.0,154.0,429.0,2524.61,1883.11,4407.72,9.1804,12.227987012987013,10.704193506493507,3.1,2.4,0.18,1.3020833333333335,male,79.0,110.0,7.3
193,2BT24hCTR08,24h 0.0%,0.0,24,2021-08-10 13:29:01,0.0,dark,9.0,50.0,5.555555555555555,179.0,116.0,295.0,2574.8,2227.68,4802.48,14.384357541899442,19.20413793103448,16.79424773646696,3.0,2.3,0.2,1.643790581079971,female,79.0,110.0,7.3
194,2BT24hCTR09,24h 0.0%,0.0,24,2021-08-10 13:46:06,0.0,bright,25.0,134.0,5.36,198.0,216.0,414.0,3384.81,4082.19,7467.0,17.095,18.89902777777778,17.997013888888887,3.3,2.7,0.32,1.6257684296093071,female,74.0,110.0,7.3
195,2BT24hCTR10,24h 0.0%,0.0,24,2021-08-10 14:02:38,0.0,bright,21.0,305.0,14.523809523809524,257.0,132.0,389.0,3328.71,2622.81,5951.52,12.952178988326848,19.86977272727273,16.410975857799787,2.8,2.1,0.22,2.375553395961559,female,79.0,110.0,7.3
196,2BT24hCTR11,24h 0.0%,0.0,24,2021-08-10 14:18:52,0.0,bright,28.0,248.0,8.857142857142858,279.0,112.0,391.0,3322.86,1793.62,5116.48,11.90989247311828,16.014464285714286,13.962178379416283,2.9,2.1,0.17,1.8356548968793864,female,79.0,110.0,7.3
197,2BT24hCTR12,24h 0.0%,0.0,24,2021-08-10 14:35:29,0.0,dark,13.0,78.0,6.0,269.0,126.0,395.0,4768.79,2886.98,7655.77,17.727843866171003,22.912539682539684,20.320191774355344,3.3,2.5,0.26,1.6640000000000001,male,79.0,110.0,7.3
198,2BT24hCTR13,24h 0.0%,0.0,24,2021-08-10 14:51:50,0.0,dark,36.0,165.0,4.583333333333333,255.0,158.0,413.0,3636.85,3217.16,6854.01,14.262156862745098,20.361772151898734,17.311964507321917,2.7,2.2,0.21,1.9722013523666408,female,79.0,110.0,7.3
199,2BT24hCTR14,24h 0.0%,0.0,24,2021-08-10 15:09:13,0.0,dark,22.0,242.0,11.0,168.0,139.0,307.0,2542.46,2168.32,4710.780000000001,15.133690476190477,15.599424460431656,15.366557468311067,2.7,2.1,0.15,1.6196954972465174,female,79.0,110.0,7.3
200,2BT24hCTR15,24h 0.0%,0.0,24,2021-08-10 15:25:56,0.0,bright,29.0,187.0,6.448275862068965,139.0,198.0,337.0,2253.66,3457.22,5710.879999999999,16.213381294964027,17.46070707070707,16.837044182835548,2.9,2.3,0.22,1.8081696391879676,male,84.0,110.0,7.3
201,2BT24hCTR16,24h 0.0%,0.0,24,2021-08-10 15:42:25,0.0,dark,1.0,421.0,421.0,143.0,225.0,368.0,2047.62,2672.56,4720.18,14.319020979020978,11.878044444444445,13.098532711732712,2.6,2.0,0.15,1.875,female,79.0,110.0,7.3
202,2BT24h00501,24h 0.5%,0.5,24,2021-08-11 10:00:30,13.0,bright,16.0,444.0,27.75,,,,,,,,,0.0,2.5,2.0,0.17,2.125,male,93.5,110.0,7.5
203,2BT24h00502,24h 0.5%,0.5,24,2021-08-11 10:16:34,7.0,dark,11.0,397.0,36.09090909090909,163.0,259.0,422.0,1937.0,3228.0,5165.0,11.883435582822086,12.463320463320464,12.173378023071276,3.2,2.5,0.38,2.432,female,65.0,110.0,7.5
204,2BT24h00503,24h 0.5%,0.5,24,2021-08-11 10:35:12,288.0,bright,2.0,182.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.4,1.9,0.15,2.186907712494533,male,93.5,110.0,7.5
205,2BT24h00504,24h 0.5%,0.5,24,2021-08-11 10:51:51,8.0,bright,2.0,421.0,210.5,0.0,435.0,435.0,0.0,2636.0,2636.0,,6.059770114942529,6.059770114942529,2.6,1.9,0.14,2.0411138649948977,male,93.5,110.0,7.5
206,2BT24h00505,24h 0.5%,0.5,24,2021-08-11 11:08:24,0.0,bright,1.0,12.0,12.0,0.0,354.0,354.0,0.0,2930.0,2930.0,,8.27683615819209,8.27683615819209,2.7,2.1,0.19,2.0516142965122555,male,93.5,110.0,7.5
207,2BT24h00506,24h 0.5%,0.5,24,2021-08-11 11:24:50,0.0,dark,0.0,0.0,0.0,19.0,406.0,425.0,302.0,5034.0,5336.0,15.894736842105264,12.399014778325123,14.146875810215192,3.0,2.4,0.25,1.8084490740740744,male,93.5,110.0,7.5
208,2BT24h00507,24h 0.5%,0.5,24,2021-08-11 11:41:05,0.0,bright,17.0,390.0,22.941176470588236,34.0,379.0,413.0,395.0,3612.0,4007.0,11.617647058823529,9.530343007915567,10.573995033369549,2.8,2.3,0.2,1.643790581079971,female,93.5,110.0,7.5
209,2BT24h00508,24h 0.5%,0.5,24,2021-08-11 11:57:56,8.0,dark,32.0,147.0,4.59375,145.0,290.0,435.0,2401.0,3975.0,6376.0,16.55862068965517,13.706896551724139,15.132758620689655,3.4,2.7,0.38,1.9306000101610523,female,75.0,110.0,7.5
210,2BT24h00509,24h 0.5%,0.5,24,2021-08-11 12:14:22,10.0,bright,0.0,470.0,470.0,0.0,440.0,440.0,0.0,4763.0,4763.0,,10.825,10.825,2.7,2.1,0.17,1.8356548968793864,male,93.5,110.0,7.5
211,2BT24h00510,24h 0.5%,0.5,24,2021-08-11 12:31:33,0.0,bright,4.0,474.0,118.5,0.0,440.0,440.0,0.0,4085.0,4085.0,,9.284090909090908,9.284090909090908,3.1,2.4,0.27,1.9531250000000004,female,129.0,110.0,7.5
212,2BT24h00511,24h 0.5%,0.5,24,2021-08-11 12:47:54,0.0,dark,0.0,0.0,0.0,54.0,318.0,372.0,562.0,2713.0,3275.0,10.407407407407407,8.531446540880504,9.469426974143955,3.1,1.4,0.16,5.830903790087465,male,93.5,110.0,7.5
213,2BT24h00512,24h 0.5%,0.5,24,2021-08-11 13:04:10,0.0,dark,10.0,394.0,39.4,96.0,319.0,415.0,1045.0,3650.0,4695.0,10.885416666666666,11.442006269592477,11.163711468129572,2.7,2.1,0.15,1.6196954972465174,male,93.5,110.0,7.5
214,2BT24h00513,24h 0.5%,0.5,24,2021-08-11 13:20:45,0.0,dark,0.0,0.0,0.0,31.0,246.0,277.0,366.0,2696.0,3062.0,11.806451612903226,10.959349593495935,11.38290060319958,2.8,2.2,0.17,1.5965439519158524,male,93.5,110.0,7.5
215,2BT24h00514,24h 0.5%,0.5,24,2021-08-11 13:37:14,0.0,dark,13.0,368.0,28.307692307692307,101.0,342.0,443.0,1358.0,3880.0,5238.0,13.445544554455445,11.345029239766081,12.395286897110763,3.6,2.9,0.46,1.8860961909057363,female,105.0,110.0,7.5
216,2BT24h00515,24h 0.5%,0.5,24,2021-08-11 13:53:56,0.0,bright,0.0,480.0,480.0,0.0,443.0,443.0,0.0,4408.0,4408.0,,9.950338600451467,9.950338600451467,2.9,2.2,0.24,2.2539444027047324,female,93.5,110.0,7.5
217,2BT24h00516,24h 0.5%,0.5,24,2021-08-11 14:10:18,0.0,bright,10.0,425.0,42.5,0.0,350.0,350.0,0.0,3190.0,3190.0,,9.114285714285714,9.114285714285714,2.3,1.9,0.16,2.3327015599941685,male,93.5,110.0,7.5
218,2BT24h01001,24h 1.0%,1.0,24,2021-12-19 12:09:51,0.0,dark,18.0,116.0,6.444444444444445,237.0,93.0,330.0,3415.0,1794.0,5209.0,14.40928270042194,19.29032258064516,16.84980264053355,3.9,3.6,0.45,0.9645061728395061,female,133.77777777777777,100.0,7.6
219,2BT24h01002,24h 1.0%,1.0,24,2021-12-19 12:28:15,0.0,bright,58.0,257.0,4.431034482758621,416.0,1.0,417.0,4940.0,24.0,4964.0,11.875,24.0,17.9375,3.4,2.8,0.37,1.6854956268221577,female,99.0,100.0,7.6
220,2BT24h01003,24h 1.0%,1.0,24,2021-12-19 12:45:16,411.0,bright,0.0,69.0,69.0,68.0,39.0,107.0,1042.0,1045.0,2087.0,15.323529411764707,26.794871794871796,21.059200603318253,3.9,3.2,0.49,1.4953613281249996,female,85.0,100.0,7.6
221,2BT24h01004,24h 1.0%,1.0,24,2021-12-19 13:05:33,0.0,bright,55.0,412.0,7.490909090909091,268.0,57.0,325.0,4492.0,1393.0,5885.0,16.761194029850746,24.43859649122807,20.599895260539405,3.8,3.2,0.39,1.1901855468749998,male,66.0,100.0,7.6
222,2BT24h01005,24h 1.0%,1.0,24,2021-12-19 13:22:35,0.0,dark,14.0,366.0,26.142857142857142,370.0,7.0,377.0,3723.0,101.0,3824.0,10.062162162162162,14.428571428571429,12.245366795366795,3.2,2.6,0.33,1.8775603095129723,female,205.0,100.0,7.6
223,2BT24h01006,24h 1.0%,1.0,24,2021-12-19 13:39:12,0.0,bright,39.0,274.0,7.0256410256410255,270.0,144.0,414.0,3786.0,2335.0,6121.0,14.022222222222222,16.21527777777778,15.11875,3.5,2.8,0.43,1.958819241982508,female,266.0,100.0,7.6
224,2BT24h01007,24h 1.0%,1.0,24,2021-12-19 13:57:19,0.0,dark,66.0,398.0,6.03030303030303,272.0,37.0,309.0,3100.0,802.0,3902.0,11.397058823529411,21.675675675675677,16.536367249602545,3.5,2.8,0.37,1.6854956268221577,male,207.0,100.0,7.6
225,2BT24h01008,24h 1.0%,1.0,24,2021-12-19 14:14:06,42.0,bright,3.0,411.0,137.0,16.0,3.0,19.0,230.0,85.0,315.0,14.375,28.333333333333332,21.354166666666664,3.2,2.6,0.23,1.3086026399635866,male,113.0,100.0,7.6
226,2BT24h01009,24h 1.0%,1.0,24,2021-12-19 14:30:38,0.0,bright,12.0,355.0,29.583333333333332,49.0,0.0,49.0,610.0,0.0,610.0,12.448979591836734,,12.448979591836734,3.3,2.6,0.29,1.649977241693218,male,103.0,100.0,7.6
227,2BT24h01010,24h 1.0%,1.0,24,2021-12-19 14:47:09,0.0,bright,24.0,290.0,12.083333333333334,318.0,84.0,402.0,4041.0,1774.0,5815.0,12.70754716981132,21.11904761904762,16.91329739442947,3.0,2.4,0.26,1.8807870370370374,male,133.77777777777777,100.0,7.6
228,2BT24h01011,24h 1.0%,1.0,24,2021-12-19 15:03:40,0.0,bright,36.0,276.0,7.666666666666667,306.0,84.0,390.0,3970.0,1654.0,5624.0,12.973856209150327,19.69047619047619,16.33216619981326,3.4,2.6,0.26,1.4792899408284024,male,133.77777777777777,100.0,7.6
229,2BT24h01012,24h 1.0%,1.0,24,2021-12-19 15:19:54,0.0,bright,24.0,400.0,16.666666666666668,106.0,0.0,106.0,1537.0,0.0,1537.0,14.5,,14.5,3.7,3.0,0.41,1.5185185185185184,female,60.0,100.0,7.6
230,2BT96hCTR01,96h 0.0%,0.0,96,2021-08-20 11:58:47,5.0,bright,13.0,285.8,21.984615384615385,172.0,255.0,427.0,942.0,1345.0,2287.0,5.476744186046512,5.2745098039215685,5.3756269949840405,3.0,2.3,0.25,2.0547382263499636,female,161.75,110.0,7.3
231,2BT96hCTR02,96h 0.0%,0.0,96,2021-08-20 12:14:45,0.0,bright,25.0,278.9,11.155999999999999,132.0,209.0,341.0,2528.0,3740.0,6268.0,19.151515151515152,17.894736842105264,18.523125996810208,2.8,2.2,0.18,1.6904583020285493,male,161.75,110.0,7.3
232,2BT96hCTR03,96h 0.0%,0.0,96,2021-08-20 12:31:07,0.0,bright,17.0,400.3,23.54705882352941,163.0,223.0,386.0,5385.0,6571.0,11956.0,33.03680981595092,29.466367713004484,31.251588764477702,2.9,2.3,0.25,2.0547382263499636,female,161.75,110.0,7.3
